Density,CO,FA,ODH,DAS,FOS
1760.5294570707072,0.0,36.74,25.0,30.54,1.04
1760.5294570707072,0.0,33.4,90.0,28.5,1.06
1760.5294570707072,0.0,33.4,12.0,28.19,1.12
1760.5294570707072,0.0,33.4,25.0,26.57,1.07
1760.5294570707072,49.63,24.13,90.0,30.0,1.08
1760.5294570707072,49.63,24.13,12.0,32.63,1.12
1760.5294570707072,49.63,24.13,25.0,30.54,1.11
1760.5294570707072,100.03,19.74,90.0,30.0,1.14
1760.5294570707072,100.03,19.74,12.0,32.63,1.1
1760.5294570707072,100.03,19.74,25.0,34.43,1.1
207.0,0.19,36.67,120.0,30.0,2.331
189.0,0.15,34.21,120.0,30.0,1.78
175.0,0.06,33.18,120.0,30.0,1.515
1835.0,36.0,22.0,30.0,36.0,1.408
1835.0,36.0,22.0,30.0,36.0,1.332
1835.0,36.0,22.0,30.0,36.0,1.285
1835.0,36.0,22.0,30.0,36.0,1.402
1835.0,36.0,22.0,35.0,39.0,1.206
1835.0,36.0,22.0,35.0,39.0,1.152
1835.0,36.0,22.0,35.0,39.0,1.134
1835.0,36.0,22.0,35.0,39.0,1.203
1835.0,36.0,22.0,40.0,41.0,1.107
1835.0,36.0,22.0,40.0,41.0,1.052
1835.0,36.0,22.0,40.0,41.0,1.037
1835.0,36.0,22.0,40.0,41.0,1.105
204.0,53.0,28.0,35.0,37.0,1.11
204.0,53.0,28.0,35.0,37.0,1.11
204.0,53.0,28.0,35.0,38.0,0.94
203.0,28.0,31.0,35.0,37.0,1.2
203.0,28.0,31.0,42.0,37.0,1.1
218.0,45.0,26.0,40.0,38.0,1.08
202.0,56.0,23.0,41.0,37.0,1.2
1760.5294570707072,75.0,25.0,25.0,30.0,1.6936918429003023
1760.5294570707072,70.0,27.0,29.0,34.0,1.6936918429003023
1760.5294570707072,75.0,30.0,33.0,38.0,1.6936918429003023
1760.5294570707072,65.0,28.0,37.0,42.0,1.6936918429003023
1760.5294570707072,75.0,35.0,41.0,46.0,1.6936918429003023
1760.5294570707072,65.0,27.0,45.0,50.0,1.6936918429003023
1700.0,60.0,25.0,53.60598278335725,38.22633123689727,1.6936918429003023
1700.0,40.0,11.0,53.60598278335725,38.22633123689727,1.6936918429003023
2300.0,250.0,30.0,53.60598278335725,38.22633123689727,1.6936918429003023
2000.0,150.0,25.0,53.60598278335725,38.22633123689727,1.6936918429003023
1760.5294570707072,0.19,36.67,53.60598278335725,30.0,1.6936918429003023
1760.5294570707072,0.15,34.21,53.60598278335725,30.0,1.6936918429003023
1760.5294570707072,0.06,33.18,53.60598278335725,30.0,1.6936918429003023
125.0,240.0,34.0,53.60598278335725,38.22633123689727,1.6936918429003023
192.0,96.0,35.0,53.60598278335725,38.22633123689727,1.6936918429003023
193.0,65.0,11.0,53.60598278335725,38.22633123689727,1.6936918429003023
184.0,5.0,3.0,53.60598278335725,38.22633123689727,1.6936918429003023
184.0,20.0,25.0,53.60598278335725,38.22633123689727,1.6936918429003023
184.0,17.0,10.0,53.60598278335725,38.22633123689727,1.6936918429003023
184.0,17.0,10.0,53.60598278335725,38.22633123689727,1.6936918429003023
184.0,17.0,10.0,53.60598278335725,38.22633123689727,1.6936918429003023
184.0,11.0,25.0,53.60598278335725,38.22633123689727,1.6936918429003023
221.0,75.0,25.0,84.0,60.0,1.6936918429003023
221.0,38.0,20.0,84.0,60.0,1.6936918429003023
265.0,0.1,30.0,84.0,60.0,1.6936918429003023
133.0,130.0,30.0,84.0,60.0,1.6936918429003023
255.0,3.0,35.0,84.0,60.0,1.6936918429003023
2427.0,1.08,23.1,53.60598278335725,38.22633123689727,1.6936918429003023
2410.0,1.28,49.61,53.60598278335725,38.22633123689727,1.6936918429003023
2350.0,0.35,46.45,53.60598278335725,38.22633123689727,1.6936918429003023
2470.0,1.43,23.6,53.60598278335725,38.22633123689727,1.6936918429003023
1450.0,1.95,52.34,53.60598278335725,38.22633123689727,1.6936918429003023
2221.0,3.98,42.25,53.60598278335725,38.22633123689727,1.6936918429003023
2381.0,8.41,52.82,53.60598278335725,38.22633123689727,1.6936918429003023
2491.0,0.92,46.9,53.60598278335725,38.22633123689727,1.6936918429003023
2360.0,4.44,50.89,53.60598278335725,38.22633123689727,1.6936918429003023
2551.0,2.32,46.22,53.60598278335725,38.22633123689727,1.6936918429003023
2220.0,4.08,35.27,53.60598278335725,38.22633123689727,1.6936918429003023
2470.0,8.53,39.27,53.60598278335725,38.22633123689727,1.6936918429003023
1501.0,1.76,31.03,53.60598278335725,38.22633123689727,1.6936918429003023
2420.0,1.37,28.91,53.60598278335725,38.22633123689727,1.6936918429003023
1270.0,2.55,16.21,53.60598278335725,38.22633123689727,1.6936918429003023
1631.0,10.0,30.0,53.60598278335725,38.22633123689727,1.6936918429003023
2235.0,10.0,30.0,53.60598278335725,38.22633123689727,1.6936918429003023
2019.0,80.0,22.0,53.60598278335725,38.22633123689727,1.6936918429003023
2702.0,9800.0,59.0,53.60598278335725,38.22633123689727,1.6936918429003023
1427.0,5.0,36.5,53.60598278335725,38.22633123689727,1.6936918429003023
2141.0,10.0,30.0,53.60598278335725,38.22633123689727,1.6936918429003023
2437.0,3500.0,46.1,53.60598278335725,38.22633123689727,1.6936918429003023
1835.0,20.0,222.4,53.60598278335725,38.22633123689727,1.6936918429003023
208.0,32.0,14.0,53.60598278335725,38.22633123689727,1.6936918429003023
199.0,13.0,37.0,53.60598278335725,38.22633123689727,1.6936918429003023
183.0,15.0,20.0,53.60598278335725,38.22633123689727,1.6936918429003023
225.0,34.0,10.0,53.60598278335725,38.22633123689727,1.6936918429003023
188.0,18.0,22.0,53.60598278335725,38.22633123689727,1.2
190.0,27.0,8.0,53.60598278335725,38.22633123689727,1.2
195.0,18.0,18.0,53.60598278335725,38.22633123689727,1.2
2294.0,3.1,39.4,53.60598278335725,38.22633123689727,1.2
2029.0,2.4,33.0,53.60598278335725,38.22633123689727,1.2
2274.0,3.0,39.1,53.60598278335725,38.22633123689727,1.2
2019.0,2.4,33.2,53.60598278335725,38.22633123689727,1.2
2233.0,2.9,36.8,53.60598278335725,38.22633123689727,1.2
2100.0,2.8,32.1,53.60598278335725,38.22633123689727,1.2
2223.0,2.9,36.4,53.60598278335725,38.22633123689727,1.2
1611.0,1.9,29.7,53.60598278335725,38.22633123689727,1.2
2050.0,2.8,32.9,53.60598278335725,38.22633123689727,1.2
1428.0,1.6,28.2,53.60598278335725,38.22633123689727,1.2
2090.0,2.9,34.3,53.60598278335725,38.22633123689727,1.2
1988.0,2.4,30.5,53.60598278335725,38.22633123689727,1.6936918429003023
2039.0,2.8,32.7,53.60598278335725,38.22633123689727,1.2
1835.0,1.7,30.2,53.60598278335725,38.22633123689727,1.2
1760.5294570707072,347.3348309232481,26.021077257889008,53.60598278335725,38.22633123689727,1.2
2100.0,75.0,25.0,60.0,35.0,1.6936918429003023
2100.0,75.0,25.0,70.0,33.0,1.6936918429003023
2100.0,75.0,25.0,80.0,32.0,1.6936918429003023
208.0,32.0,14.0,53.60598278335725,38.22633123689727,1.6936918429003023
200.0,13.0,37.0,53.60598278335725,38.22633123689727,1.6936918429003023
182.0,15.0,20.0,53.60598278335725,38.22633123689727,1.6936918429003023
225.0,34.0,10.0,53.60598278335725,38.22633123689727,1.6936918429003023
184.0,18.0,22.0,53.60598278335725,38.22633123689727,1.6936918429003023
190.0,27.0,8.0,53.60598278335725,38.22633123689727,1.6936918429003023
195.0,18.0,18.0,53.60598278335725,38.22633123689727,1.6936918429003023
2794.0,350.0,23.0,77.0,38.22633123689727,1.6936918429003023
2886.0,800.0,32.0,77.0,38.22633123689727,1.6936918429003023
2702.0,50.0,13.0,77.0,38.22633123689727,1.6936918429003023
2702.0,410.0,25.0,77.0,38.22633123689727,1.6936918429003023
2396.0,240.0,20.0,77.0,38.22633123689727,1.6936918429003023
2773.0,990.0,35.0,77.0,38.22633123689727,1.6936918429003023
2743.0,300.0,22.0,77.0,38.22633123689727,1.6936918429003023
3171.0,1250.0,44.0,77.0,38.22633123689727,1.6936918429003023
1988.0,45.1,29.5,53.60598278335725,38.22633123689727,1.6936918429003023
2498.0,135.0,30.0,53.60598278335725,38.22633123689727,1.6936918429003023
2498.0,150.0,28.0,53.60598278335725,38.22633123689727,1.6936918429003023
2315.0,150.0,31.5,53.60598278335725,38.22633123689727,1.6936918429003023
2284.0,130.0,32.0,53.60598278335725,38.22633123689727,1.6936918429003023
2447.0,127.5,29.0,53.60598278335725,38.22633123689727,1.21
1428.0,185.1,35.0,53.60598278335725,38.22633123689727,1.21
2498.0,176.8,31.3,53.60598278335725,38.22633123689727,6.81
188.0,2.0,15.0,53.60598278335725,38.22633123689727,1.41
226.0,2.7,41.0,53.60598278335725,38.22633123689727,2.49
1760.5294570707072,347.3348309232481,26.021077257889008,53.60598278335725,38.22633123689727,2.67
1760.5294570707072,347.3348309232481,26.021077257889008,53.60598278335725,38.22633123689727,1.42
1760.5294570707072,347.3348309232481,26.021077257889008,53.60598278335725,38.22633123689727,1.28
1760.5294570707072,347.3348309232481,26.021077257889008,53.60598278335725,38.22633123689727,1.15
1760.5294570707072,347.3348309232481,26.021077257889008,53.60598278335725,38.22633123689727,1.47
1760.5294570707072,347.3348309232481,26.021077257889008,53.60598278335725,38.22633123689727,1.6936918429003023
